logical,creative,social,leadership,practical,interest_text,field
1,10,8,4,10,I enjoy 2D and 3D animation,Animator
1,11,15,9,4,I want to be a writer,Content Writer
4,10,15,3,1,I enjoy vocal music,Singer
7,8,7,7,4,I love making cartoons and animations,Animator
1,10,11,3,2,I like fine arts,Fine Artist
3,15,8,4,9,I enjoy making logos and visual designs,Graphic Designer
10,6,12,2,4,I enjoy composing music,Music Composer
2,7,8,9,1,I want to direct movies,Film Director
8,10,14,7,4,I love theatre arts,Theatre Artist
3,11,6,3,8,I like understanding human groups,Sociologist
6,14,13,6,2,I like understanding human groups,Sociologist
3,5,10,2,8,I want to design interiors,Interior Designer
2,12,9,4,8,I enjoy painting and sketching,Fine Artist
2,6,12,8,1,I like performing drama,Actor
8,6,6,1,4,I want to become a teacher,Teacher
8,8,5,8,3,I like managing public image,Public Relations Officer
5,9,15,7,2,I enjoy storytelling and filmmaking,Film Director
7,9,6,7,8,I like handling media,Public Relations Officer
6,12,6,7,6,I enjoy vocal music,Singer
4,8,12,9,4,I enjoy acting,Actor
7,6,11,5,10,I like online advertising,Digital Marketer
9,7,15,2,5,I love camera work,Photographer
5,9,9,6,6,I like designing rooms,Interior Designer
8,12,6,10,10,I like managing public image,Public Relations Officer
5,8,5,4,2,I like understanding human groups,Sociologist
10,9,10,7,10,I want to do academic research,Professor
7,5,5,9,10,I love traditional art,Fine Artist
9,12,7,9,5,I enjoy investigative writing,Journalist
8,14,10,2,1,I want to research past events,Historian
3,8,10,3,4,I want to report real world events,Journalist
6,13,6,10,8,I enjoy learning about history,Historian
9,9,11,4,3,I like writing news articles,Journalist
3,12,12,5,6,I love theatre arts,Theatre Artist
9,7,12,6,1,I enjoy fashion trends,Fashion Designer
2,12,12,8,8,I like designing rooms,Interior Designer
10,5,8,9,1,I like ancient civilizations,Historian
4,13,15,1,3,I want to research past events,Historian
10,10,13,3,5,I like live acting,Theatre Artist
8,13,6,9,8,I want to perform on stage,Singer
4,10,9,6,6,I enjoy storytelling and filmmaking,Film Director
1,14,8,10,4,I want to analyze government systems,Political Scientist
6,6,5,6,2,I like live acting,Theatre Artist
8,7,5,8,8,I want to understand human behavior,Psychologist
1,14,15,3,6,I enjoy nature and portrait photography,Photographer
5,11,6,9,10,I enjoy vocal music,Singer
5,10,15,1,8,I like ancient civilizations,Historian
8,9,15,10,4,I like designing game characters,Game Artist
2,8,5,6,1,I like managing public image,Public Relations Officer
9,6,5,6,3,I enjoy making reels and short films,Video Editor
3,12,8,10,4,I like managing film shoots,Film Director
6,6,14,1,4,I like using Photoshop and Illustrator,Graphic Designer
4,5,12,2,8,I enjoy painting and sketching,Fine Artist
7,10,8,6,4,I want to do academic research,Professor
6,6,11,8,5,I like fine arts,Fine Artist
9,15,7,2,6,I enjoy debating and legal cases,Lawyer
2,11,15,3,10,I enjoy making logos and visual designs,Graphic Designer
3,15,5,5,1,I like teaching at university,Professor
7,13,9,7,3,I enjoy designing mobile app interfaces,UI UX Designer
6,5,7,4,8,I like designing game characters,Game Artist
9,15,10,8,1,I want to understand human behavior,Psychologist
6,10,14,8,1,I want to design interiors,Interior Designer
1,11,14,10,3,I like studying emotions,Psychologist
3,8,7,1,6,I like working with animated characters,Animator
1,5,7,8,2,I like handling media,Public Relations Officer
4,14,7,2,9,I want to study law,Lawyer
1,8,12,3,4,I enjoy fashion trends,Fashion Designer
8,5,9,8,3,I like musical instruments,Music Composer
6,8,14,2,1,I enjoy painting and sketching,Fine Artist
6,13,12,3,9,I use video editing software,Video Editor
9,6,11,1,6,I like singing,Singer
7,10,9,3,7,I want to become a teacher,Teacher
4,15,6,7,8,I enjoy helping people mentally,Psychologist
3,13,11,5,4,I enjoy debating and legal cases,Lawyer
10,15,10,10,5,I want to work in digital marketing,Digital Marketer
1,11,12,2,3,I enjoy helping people mentally,Psychologist
1,11,15,1,1,I enjoy stage performance,Theatre Artist
8,14,15,2,6,I enjoy social media marketing,Digital Marketer
4,7,11,9,4,I enjoy helping people mentally,Psychologist
10,12,6,5,9,I love making cartoons and animations,Animator
2,11,11,3,1,I want to understand human behavior,Psychologist
10,7,5,1,3,I enjoy painting and sketching,Fine Artist
4,12,8,7,1,I enjoy acting,Actor
8,14,13,3,7,I want to analyze government systems,Political Scientist
5,15,12,3,8,I want to understand human behavior,Psychologist
1,14,5,7,8,I like managing public image,Public Relations Officer
10,11,6,3,4,I like managing film shoots,Film Director
1,12,15,9,9,I like managing film shoots,Film Director
1,12,5,4,5,I enjoy higher education,Professor
7,15,11,3,2,I create melodies,Music Composer
3,14,5,4,3,I want to analyze government systems,Political Scientist
5,9,7,10,10,I enjoy teaching students,Teacher
7,15,14,4,10,I like editing videos,Video Editor
7,9,14,4,7,I want to become a teacher,Teacher
8,12,7,5,4,I love designing clothes,Fashion Designer
1,5,5,3,4,I want to work in digital marketing,Digital Marketer
8,8,9,4,4,I enjoy studying politics,Political Scientist
5,15,15,4,2,I love traditional art,Fine Artist
3,14,9,6,8,I like designing rooms,Interior Designer
4,9,9,4,8,I enjoy game visuals,Game Artist
8,9,6,7,1,I want to act in movies,Actor
4,8,10,7,10,I enjoy home decor,Interior Designer
9,12,8,9,4,I like understanding human groups,Sociologist
6,6,7,10,9,I want to become a teacher,Teacher
4,9,8,2,6,I want to act in movies,Actor
